"category","price","sellable_online","other_colors","depth","height","width"
"Bookcases & shelving units",0,"TRUE","No",36,64,60
"Chairs",0,"TRUE","No",46,76,54
"Bookcases & shelving units",0,"TRUE","Yes",30,202,40
"Sofas & armchairs",1,"TRUE","Yes",99,83,198
"Bookcases & shelving units",0,"TRUE","No",50,226,134
"Cabinets & cupboards",1,"TRUE","Yes",47,212,203
"Bookcases & shelving units",0,"TRUE","No",27,140,60
"Tables & desks",0,"TRUE","Yes",48.5,45,55
"Tables & desks",0,"TRUE","Yes",159,147,147
"Beds",0,"TRUE","Yes",97.5,84,165
"Tables & desks",0,"TRUE","No",60,43,74
"Chests of drawers & drawer units",0,"TRUE","Yes",47,8,120
"Nursery furniture",0,"TRUE","Yes",30,145,46
"TV & media furniture",0,"TRUE","No",36,85,120
"Chairs",0,"TRUE","Yes",30,45,39
"TV & media furniture",0,"TRUE","No",42,53,160
"Chairs",0,"TRUE","No",61,84,65
"Cabinets & cupboards",0,"TRUE","No",35,35,95
"Tables & desks",0,"TRUE","Yes",48.5,50,60
"Chairs",0,"TRUE","No",50,88,52
"Beds",0,"TRUE","No",55,84,55
"Wardrobes",1,"TRUE","No",60,236,200
"Children's furniture",0,"TRUE","No",43,79,41
"Sofas & armchairs",1,"TRUE","Yes",88,85,225
"Cabinets & cupboards",0,"TRUE","Yes",38,64,60
"Tables & desks",0,"TRUE","No",48.5,75,80
"Cafe furniture",0,"TRUE","No",36,84,38
"Bar furniture",0,"TRUE","No",51,102,40
"Bookcases & shelving units",0,"TRUE","Yes",30,202,80
"Sofas & armchairs",0,"TRUE","Yes",40,44,60
"Beds",1,"TRUE","Yes",97,90,200
"Chairs",0,"TRUE","No",51.5,78.5,42
"Chairs",0,"TRUE","No",46,76,50
"Tables & desks",0,"TRUE","Yes",48.5,74,70
"Bookcases & shelving units",1,"TRUE","Yes",30,237,80
"Bookcases & shelving units",1,"TRUE","No",38,214,276
"Outdoor furniture",0,"TRUE","No",67.5,70,54
"Chests of drawers & drawer units",0,"TRUE","No",57,53,80
"Wardrobes",1,"TRUE","No",57,123,240
"Bookcases & shelving units",0,"TRUE","No",55,190,85
"Tables & desks",0,"TRUE","No",52,73,90
"Nursery furniture",0,"TRUE","No",61,87,56
"Chairs",0,"TRUE","Yes",69,79,69
"Cabinets & cupboards",0,"TRUE","Yes",35,70,60
"Tables & desks",1,"TRUE","No",48.5,74,78
"Bar furniture",0,"TRUE","No",51,102,40
"Sofas & armchairs",1,"TRUE","Yes",98,104,211
