"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"1",90291698,"Bookcases & shelving units",175,TRUE,"No",NA,64,60
"2",80280515,"Chairs",225,TRUE,"No",46,76,54
"3",39287398,"Bookcases & shelving units",340,TRUE,"Yes",30,202,40
"4",89135944,"Sofas & armchairs",1995,TRUE,"Yes",99,83,198
"5",29248345,"Bookcases & shelving units",906,TRUE,"No",50,226,134
"6",9265920,"Cabinets & cupboards",2980,TRUE,"Yes",47,212,203
"7",29221435,"Chairs",1695,TRUE,"No",NA,NA,NA
"8",99291745,"Bookcases & shelving units",84,TRUE,"No",27,140,60
"9",30449908,"Tables & desks",30,TRUE,"Yes",NA,45,55
"10",49133616,"Tables & desks",755,TRUE,"Yes",159,147,147
"11",69912770,"Beds",525,TRUE,"Yes",NA,NA,165
"12",30180504,"Tables & desks",225,TRUE,"No",60,43,74
"13",40383474,"Chests of drawers & drawer units",200,TRUE,"Yes",47,8,120
"14",99228551,"Nursery furniture",260,TRUE,"Yes",30,145,46
"15",10306613,"TV & media furniture",345,TRUE,"No",36,85,120
"16",152282,"Chairs",175,TRUE,"Yes",30,45,39
"17",79305263,"TV & media furniture",405,TRUE,"No",42,53,160
"18",80403154,"Chairs",695,TRUE,"No",61,84,65
"19",99161598,"Cabinets & cupboards",287,TRUE,"No",35,35,95
"20",10452628,"Tables & desks",275,TRUE,"Yes",NA,50,60
"21",59127808,"Chairs",245,TRUE,"No",50,88,52
"22",40299687,"Beds",40,TRUE,"No",55,NA,55
"23",89300156,"Wardrobes",3695,TRUE,"No",60,236,200
"24",90253535,"Children's furniture",195,TRUE,"No",43,79,41
"25",19240062,"Sofas & armchairs",4220,TRUE,"Yes",88,85,225
"26",50294793,"Cabinets & cupboards",100,TRUE,"Yes",NA,64,60
"27",30340809,"Tables & desks",795,TRUE,"No",NA,75,80
"28",20334309,"TV & media furniture",75,TRUE,"Yes",NA,NA,NA
"29",10281354,"Café furniture",595,TRUE,"No",36,84,38
"30",40426138,"Bar furniture",395,TRUE,"No",51,102,40
"31",29281066,"Bookcases & shelving units",385,TRUE,"Yes",30,202,80
"32",50360009,"Sofas & armchairs",300,TRUE,"Yes",40,44,60
"33",9306416,"Beds",1470,TRUE,"Yes",97,90,200
"34",40076093,"Chairs",25,TRUE,"No",NA,NA,42
"35",60246080,"Chairs",180,TRUE,"No",46,76,50
"36",366749,"Tables & desks",495,TRUE,"Yes",NA,NA,70
"37",30306235,"Sofas & armchairs",395,TRUE,"Yes",NA,NA,NA
"38",59287340,"Bookcases & shelving units",1085,TRUE,"Yes",30,237,80
"39",19046442,"Bookcases & shelving units",4335,TRUE,"No",38,214,276
"40",70095429,"Outdoor furniture",89,TRUE,"No",NA,70,54
"41",29277229,"Chests of drawers & drawer units",398,TRUE,"No",57,53,80
"42",69221297,"Tables & desks",1975,TRUE,"No",NA,NA,NA
"43",89252117,"Wardrobes",1388,TRUE,"No",57,123,240
"44",60347507,"TV & media furniture",35,TRUE,"Yes",NA,NA,NA
"45",59282998,"Bookcases & shelving units",580,TRUE,"No",55,190,85
"46",30302299,"Tables & desks",295,TRUE,"No",52,73,90
"47",9252593,"Nursery furniture",345,TRUE,"No",61,87,56
"48",40472861,"Chairs",545,TRUE,"Yes",69,79,69
"49",79248748,"Cabinets & cupboards",363,TRUE,"Yes",35,70,60
"50",60247027,"Tables & desks",1295,TRUE,"No",NA,74,78
"51",90319918,"Bar furniture",695,TRUE,"No",51,102,40
"52",99335985,"Outdoor furniture",619,TRUE,"No",NA,NA,NA
"53",69256220,"Sofas & armchairs",2045,TRUE,"Yes",98,104,211
"54",59288212,"Tables & desks",6608,TRUE,"Yes",NA,NA,160
"55",39278290,"Bookcases & shelving units",345,TRUE,"Yes",39,147,42
"56",70234185,"Outdoor furniture",179,TRUE,"No",81,71,79
"57",10441734,"Sofas & armchairs",476,TRUE,"Yes",NA,NA,NA
"58",272656,"Bar furniture",745,TRUE,"No",50,90,48
"59",60428990,"Café furniture",295,TRUE,"No",NA,45,29
"60",10422504,"Café furniture",345,TRUE,"Yes",49,79,46
"61",59286963,"Cabinets & cupboards",1350,TRUE,"Yes",45,101,61
"62",30236153,"TV & media furniture",17,TRUE,"No",30,NA,17
"63",19279177,"Sideboards, buffets & console tables",350,TRUE,"No",35,35,120
"64",10386501,"Outdoor furniture",260,TRUE,"No",60,86,60
"65",90394470,"Bookcases & shelving units",15,TRUE,"No",NA,15,13
"66",29167037,"Wardrobes",2450,TRUE,"No",44,236,200
